x u10 v10 w10 u15 v15 w15 u24 v24 w24
-3.81174 9.39278 0.0692891 2.30641e-05 14.4134 0.0660888 0.000309757 23.697 0.0367069 -6.32649e-06
-3.80774 9.39171 0.069435 2.33457e-05 14.4124 0.066232 0.000309757 23.6964 0.0367893 -6.28523e-06
-3.80373 9.39062 0.0695806 2.35477e-05 14.4113 0.066376 0.000309583 23.6958 0.0368718 -6.33936e-06
-3.79973 9.38954 0.0697263 2.37925e-05 14.4103 0.0665199 0.000309721 23.6952 0.0369547 -6.48108e-06
-3.79573 9.38845 0.0698734 2.40164e-05 14.4092 0.066664 0.000309814 23.6946 0.0370376 -6.50824e-06
-3.79173 9.38736 0.0700202 2.43062e-05 14.4082 0.066809 0.000309659 23.6941 0.037121 -6.54863e-06
-3.78773 9.38627 0.070167 2.47186e-05 14.4071 0.0669542 0.000309897 23.6935 0.0372043 -6.60019e-06
-3.78373 9.38517 0.0703147 2.48502e-05 14.406 0.0671 0.000309763 23.6929 0.0372882 -6.67646e-06
-3.77973 9.38407 0.0704627 2.5219e-05 14.405 0.0672455 0.00030985 23.6923 0.037372 -6.7513e-06
-3.77572 9.38297 0.0706104 2.54442e-05 14.4039 0.067392 0.000309922 23.6917 0.0374562 -6.79631e-06
-3.77172 9.38188 0.0707591 2.58512e-05 14.4028 0.0675384 0.000309995 23.6911 0.0375405 -6.89043e-06
-3.76772 9.38078 0.0709082 2.61235e-05 14.4018 0.0676858 0.000310084 23.6905 0.0376251 -6.96971e-06
-3.76372 9.37966 0.0710577 2.64809e-05 14.4007 0.067833 0.000310053 23.6899 0.0377099 -6.96594e-06
-3.75972 9.37856 0.0712071 2.6695e-05 14.3996 0.0679808 0.000309977 23.6893 0.0377949 -7.05065e-06
-3.75572 9.37745 0.0713575 2.70172e-05 14.3986 0.068129 0.000310029 23.6887 0.0378802 -7.06305e-06
-3.75171 9.37633 0.0715078 2.72778e-05 14.3975 0.0682773 0.000310041 23.6881 0.0379657 -7.1338e-06
-3.74771 9.37522 0.0716582 2.75581e-05 14.3964 0.0684261 0.000310118 23.6875 0.0380514 -7.26036e-06
-3.74371 9.3741 0.0718094 2.79057e-05 14.3953 0.0685757 0.000310118 23.6869 0.0381374 -7.2521e-06
-3.73971 9.37298 0.0719609 2.82366e-05 14.3942 0.068725 0.000310133 23.6863 0.0382236 -7.27307e-06
-3.73571 9.37186 0.0721125 2.84774e-05 14.3931 0.0688749 0.000310179 23.6857 0.0383099 -7.28527e-06
-3.73171 9.37073 0.072265 2.88998e-05 14.3921 0.0690253 0.00031019 23.6851 0.0383966 -7.30604e-06
-3.72771 9.36961 0.0724174 2.92487e-05 14.391 0.0691765 0.00031019 23.6845 0.0384835 -7.51864e-06
-3.7237 9.36848 0.0725702 2.94952e-05 14.3899 0.0693277 0.000310373 23.6839 0.0385707 -7.49239e-06
-3.7197 9.36734 0.072724 2.97864e-05 14.3888 0.0694793 0.000310317 23.6833 0.038658 -7.63623e-06
-3.7157 9.36621 0.0728773 2.99847e-05 14.3877 0.0696313 0.000310256 23.6827 0.0387454 -7.6611e-06
-3.7117 9.36508 0.0730312 3.04094e-05 14.3866 0.0697835 0.000310362 23.6821 0.0388332 -7.75991e-06
-3.7077 9.36394 0.0731859 3.07492e-05 14.3855 0.0699359 0.000310531 23.6815 0.0389212 -7.91316e-06
-3.7037 9.36279 0.0733402 3.11201e-05 14.3844 0.0700889 0.000310489 23.6809 0.0390095 -7.79285e-06
-3.6997 9.36165 0.0734952 3.14022e-05 14.3833 0.0702426 0.000310534 23.6803 0.0390979 -7.90866e-06
-3.69569 9.3605 0.0736507 3.1726e-05 14.3821 0.0703965 0.000310495 23.6796 0.0391867 -8.00164e-06
