r u10 v10 w10 u15 v15 w15 u24 v24 w24
0.487218 7.71403657672 -0.157873154301 -1.78344245619 12.4312626472 -0.0694760593122 -2.89057320927 22.8152829473 0.0649345209983 -2.89289480625
0.488832 7.70625115129 -0.158257803046 -1.78085209675 12.3918867692 -0.064268958016 -2.9049969077 22.7900039534 0.0631211097259 -2.90754176659
0.490445 7.69857009271 -0.158651415709 -1.77823486641 12.354503269 -0.0594978153051 -2.91819406678 22.7651965018 0.0617272501161 -2.92172077193
0.492059 7.69098108436 -0.159052808384 -1.77559680681 12.31903673 -0.0551403673453 -2.93017258236 22.7409636348 0.0607578500976 -2.93530780119
0.493673 7.68346394705 -0.159445364768 -1.77294488465 12.2855116521 -0.0511615656933 -2.94096870449 22.717410144 0.0601998417313 -2.94820012501
0.495287 7.67602327664 -0.159827998523 -1.77027808323 12.2538171603 -0.0475369577412 -2.95061379993 22.6946194046 0.0600394224738 -2.96032860574
0.496901 7.66866481064 -0.160195844066 -1.76759532756 12.2239386294 -0.0442425000654 -2.95915866875 22.6726747918 0.0602670523183 -2.97163854744
0.498515 7.66139663239 -0.160554377819 -1.76488903847 12.195765226 -0.0412568309116 -2.96665546938 22.6515507639 0.0608569237034 -2.98210837505
0.500129 7.65424532105 -0.160904606171 -1.76216638681 12.1691999082 -0.0385602393541 -2.97317047694 22.6313109877 0.0617799515807 -2.99171290937
0.501743 7.64724313499 -0.161251734264 -1.75940002255 12.1441513842 -0.0361355403258 -2.97875667068 22.6119830883 0.063017200068 -3.0004545754
0.503357 7.64040004084 -0.161600303041 -1.75660083739 12.1205608622 -0.0339634374996 -2.98346716319 22.5934924821 0.0645430682879 -3.00833094814
0.504971 7.63372938444 -0.161953662492 -1.75376325216 12.0983108005 -0.0320350029013 -2.98737333792 22.575943961 0.0663267557587 -3.01535857761
0.506585 7.62724862826 -0.162314625402 -1.75087560435 12.0772676987 -0.0303225660329 -2.99053332828 22.5592376082 0.0683407686791 -3.02153218464
