r u10 v10 w10 u15 v15 w15 u24 v24 w24
0.508199 7.65771167157 -0.548582374681 -0.0144226608336 12.5453390933 -0.712302140938 -0.0261694997135 22.6692670273 -0.594734463061 -0.0287706567907
0.509813 7.65367813888 -0.547503146924 -0.0144202041077 12.5397633388 -0.710612995497 -0.0261604009889 22.6649168158 -0.593452504106 -0.0287318082353
0.511427 7.64965029369 -0.54641629458 -0.0144150950428 12.5341915426 -0.708898230869 -0.0261522680945 22.6605665626 -0.592156428472 -0.0286921542554
0.513041 7.6456371485 -0.545312412219 -0.0144105793929 12.5286784964 -0.707163642896 -0.0261424326915 22.6562075594 -0.590842225325 -0.0286536140216
0.514655 7.64163627833 -0.544197628598 -0.0144065280309 12.5231655336 -0.705404753234 -0.0261316681161 22.6518779311 -0.589514353412 -0.0286147433665
0.516269 7.6376427415 -0.543071237469 -0.0144014350806 12.517627029 -0.703624283138 -0.0261223943689 22.6475444279 -0.588168629822 -0.0285730943684
0.517883 7.63366490051 -0.541932205077 -0.014396002962 12.5121639829 -0.70182240261 -0.0261116197825 22.6432560081 -0.58680957872 -0.0285326953677
0.519496 7.62969714702 -0.54078201726 -0.0143907487568 12.5067128118 -0.699996421232 -0.0261030089422 22.6389470049 -0.585435671354 -0.028491658861
0.52111 7.62574352688 -0.539621824434 -0.0143848589629 12.5012410156 -0.698151730671 -0.0260914280913 22.6347007517 -0.584046123976 -0.0284495123489
0.522724 7.62179853593 -0.53844659701 -0.0143783995827 12.4958280112 -0.696285381345 -0.0260807684873 22.6304171652 -0.582643084505 -0.0284086879143
0.524338 7.61786833663 -0.537262992914 -0.0143707355714 12.4903855901 -0.694396756166 -0.0260699909612 22.6261669954 -0.581224289185 -0.0283660126405
0.525952 7.61395040819 -0.536068699642 -0.014364049934 12.4850098356 -0.69248909139 -0.0260579763446 22.6219413256 -0.579792495938 -0.028325367778
0.527566 7.61004265475 -0.534861028859 -0.0143572795441 12.4796419979 -0.690560706181 -0.0260454008856 22.6176990307 -0.57834662018 -0.0282848783272
0.52918 7.60615227216 -0.533643956816 -0.0143499131062 12.4742750352 -0.688613431791 -0.0260328370912 22.6135027776 -0.576885155655 -0.0282424922012
0.530794 7.60226746457 -0.532417096433 -0.01434110729 12.4689444474 -0.6866453253 -0.0260198557872 22.6092937745 -0.575411090291 -0.0282014819052
0.532408 7.5984008945 -0.531181294792 -0.0143327935544 12.4636480681 -0.684658683376 -0.026007936147 22.6051181464 -0.573922738661 -0.0281600603525
0.534022 7.5945409036 -0.529934116888 -0.0143229697293 12.4583468971 -0.682652551857 -0.0259950915 22.60093856 -0.572422691607 -0.0281194679608
0.535636 7.59070228355 -0.528675891475 -0.0143151972373 12.4530505593 -0.680626842821 -0.0259800589245 22.5967629319 -0.570909412454 -0.0280791947269
0.53725 7.58686190099 -0.527410238141 -0.0143052364067 12.44778268 -0.678583767937 -0.025965692183 22.5926539289 -0.569382019957 -0.0280385869039
0.538864 7.58303936845 -0.526133395627 -0.0142971501151 12.4425608423 -0.676521981789 -0.0259501062625 22.5884989258 -0.567841965786 -0.0279992453264
0.540478 7.57922859425 -0.524848337692 -0.0142865759846 12.4373430047 -0.674444109377 -0.0259348361726 22.584386006 -0.566291363686 -0.0279598791586
0.542092 7.57543497007 -0.523553250996 -0.014276569769 12.4321339171 -0.672346392783 -0.0259180919069 22.5802898363 -0.564724334075 -0.0279212384019
0.543706 7.57164862506 -0.522249143461 -0.0142661069659 12.4269454545 -0.670232947424 -0.025902650973 22.5761808749 -0.563148446539 -0.0278815938863
0.54532 7.56787657173 -0.52093606175 -0.0142566497838 12.4217902835 -0.668101947888 -0.0258837946092 22.5721297886 -0.561558391907 -0.0278442572822
0.546934 7.56411658923 -0.519615586701 -0.014245951808 12.4166597376 -0.66595576292 -0.0258664861601 22.5680581189 -0.559956340183 -0.0278072819218
0.548547 7.56037111508 -0.518285222055 -0.0142340291599 12.4115251917 -0.663790232521 -0.0258501652044 22.5639952409 -0.558343255117 -0.0277695232208
0.550161 7.55662858261 -0.516947784906 -0.0142235136773 12.4064454791 -0.661610842942 -0.0258308913222 22.5599862796 -0.556717099204 -0.0277326428468
0.551775 7.55290692931 -0.515600195246 -0.0142123536048 12.4013364332 -0.659415335848 -0.0258115070183 22.5559685683 -0.555080174952 -0.0276964166332
0.553389 7.54918940101 -0.514245592249 -0.0141987748608 12.3962852207 -0.657203046245 -0.0257923681267 22.551951732 -0.553430166105 -0.0276609416627
