x u10 v10 w10 u15 v15 w15 u24 v24 w24
-3.79573 9.45851 0.191479 -1.70478e-05 14.4781 0.183519 0.000253251 23.7342 0.101437 -0.000106344
-3.79173 9.45759 0.191879 -1.69472e-05 14.4772 0.18391 0.000253082 23.7337 0.10166 -0.00010671
-3.78773 9.45667 0.192282 -1.68533e-05 14.4763 0.184303 0.000252718 23.7332 0.101885 -0.000107263
-3.78373 9.45575 0.192686 -1.65998e-05 14.4754 0.184696 0.000252578 23.7327 0.102109 -0.000107739
-3.77973 9.45483 0.19309 -1.65428e-05 14.4745 0.18509 0.00025215 23.7322 0.102334 -0.000108172
-3.77572 9.4539 0.193495 -1.64463e-05 14.4737 0.185486 0.000251974 23.7318 0.10256 -0.000108664
-3.77172 9.45297 0.1939 -1.62896e-05 14.4728 0.185882 0.000251623 23.7313 0.102787 -0.000109204
-3.76772 9.45205 0.194305 -1.61132e-05 14.4719 0.18628 0.000251437 23.7308 0.103015 -0.000109614
-3.76372 9.45111 0.194715 -1.59412e-05 14.471 0.186678 0.000251116 23.7303 0.103243 -0.000110096
-3.75972 9.45018 0.195124 -1.58513e-05 14.4701 0.187078 0.000250889 23.7298 0.103471 -0.000110539
-3.75572 9.44925 0.195535 -1.5733e-05 14.4692 0.187477 0.000250717 23.7293 0.1037 -0.000111178
-3.75171 9.44831 0.195945 -1.56053e-05 14.4683 0.187879 0.000250488 23.7288 0.103929 -0.0001115
-3.74771 9.44737 0.196357 -1.5542e-05 14.4674 0.188282 0.000250151 23.7284 0.10416 -0.000112075
-3.74371 9.44643 0.19677 -1.54013e-05 14.4665 0.188686 0.000249903 23.7279 0.104391 -0.000112598
-3.73971 9.44549 0.197185 -1.52037e-05 14.4656 0.18909 0.000249662 23.7274 0.104622 -0.000113029
-3.73571 9.44455 0.197599 -1.51467e-05 14.4647 0.189497 0.000249377 23.7269 0.104854 -0.000113608
-3.73171 9.4436 0.198017 -1.49737e-05 14.4638 0.189905 0.000249144 23.7264 0.105088 -0.000114127
-3.72771 9.44265 0.198433 -1.48439e-05 14.4629 0.19031 0.000248921 23.7259 0.105321 -0.000114602
-3.7237 9.4417 0.198852 -1.46559e-05 14.462 0.19072 0.000248541 23.7254 0.105555 -0.00011515
-3.7197 9.44075 0.199271 -1.44763e-05 14.4611 0.191131 0.000248345 23.7249 0.10579 -0.000115633
-3.7157 9.43979 0.199691 -1.43384e-05 14.4602 0.191541 0.000247996 23.7244 0.106025 -0.000116053
-3.7117 9.43883 0.200112 -1.41876e-05 14.4593 0.191953 0.000247711 23.7239 0.106262 -0.000116643
-3.7077 9.43787 0.200535 -1.40112e-05 14.4584 0.192367 0.000247443 23.7234 0.106499 -0.000117227
-3.7037 9.43691 0.200958 -1.4022e-05 14.4574 0.19278 0.000247278 23.7229 0.106736 -0.000117586
-3.6997 9.43595 0.201384 -1.40331e-05 14.4565 0.193196 0.000246978 23.7224 0.106974 -0.000118259
-3.69569 9.43499 0.20181 -1.38636e-05 14.4556 0.193614 0.000246778 23.7219 0.107213 -0.000118853
-3.69169 9.43402 0.202237 -1.36856e-05 14.4547 0.194031 0.000246439 23.7214 0.107452 -0.000119314
-3.68769 9.43305 0.202664 -1.36292e-05 14.4537 0.19445 0.000246119 23.7209 0.107692 -0.000119746
-3.68369 9.43208 0.203092 -1.34353e-05 14.4528 0.194869 0.000245778 23.7204 0.107932 -0.000120367
-3.67969 9.43111 0.203522 -1.32594e-05 14.4519 0.195291 0.000245472 23.7199 0.108174 -0.000120936
-3.67569 9.43014 0.203954 -1.3232e-05 14.451 0.195712 0.00024523 23.7194 0.108416 -0.000121383
